country,year,5-14 years,15-24 years,25-34 years,35-54 years,55-74 years,75+ years,5-14 years_raw,15-24 years_raw,25-34 years_raw,35-54 years_raw,55-74 years_raw,75+ years_raw
Republic of Korea,2004,0.63,9.739999999999998,16.595,28.650000000000002,53.83,125.405,43,700,1408,4381,3543,1417
Republic of Korea,2005,0.6,12.22,20.189999999999998,27.345000000000002,53.88,125.285,41,847,1689,4288,3666,1480
Republic of Korea,2006,0.525,9.239999999999998,15.155000000000001,24.275,48.555,112.47999999999999,35,627,1254,3914,3401,1422
Republic of Korea,2007,0.81,13.254999999999999,23.369999999999997,25.485,48.629999999999995,121.72,53,877,1905,4199,3537,1603
Republic of Korea,2008,0.7749999999999999,13.515,23.884999999999998,28.39,48.349999999999994,111.225,49,891,1920,4765,3650,1583
Republic of Korea,2009,1.33,15.275,30.240000000000002,34.135000000000005,53.24,125.54,81,1009,2381,5828,4177,1926
Republic of Korea,2010,1.05,12.955,29.464999999999996,33.7,54.925000000000004,127.005,61,865,2273,5795,4498,2066
Republic of Korea,2011,1.0,12.940000000000001,30.12,34.515,53.415,125.535,56,875,2285,5949,4571,2170
Republic of Korea,2012,0.885,11.335,26.11,30.59,45.785,106.925,48,774,1943,5271,4099,2024
Republic of Korea,2013,0.71,11.004999999999999,24.950000000000003,32.955,44.22,100.445,37,756,1824,5662,4140,2007
Republic of Korea,2014,0.645,10.315,24.755,32.655,39.915,84.38,33,710,1776,5591,3913,1811
Republic of Korea,2015,0.635,9.865,22.354999999999997,29.63,39.93,92.155,31,677,1560,5050,4113,2079
